,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
92,"Fundamentals of Neuroscience, Part 3: The Brain","85,034",Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,99.0,8,3,5
93,Sikhism Through Its Scriptures,"44,125",Self-paced on your time,Harvard University,Harpreet Singh-Ravinder Singh-Damanpreet Singh,Introductory,Humanities,English,English,99.0,4,5,10
94,Upper-Intermediate English: Business and Modern Life,"77,991",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,50.0,4,3,5
95,Introduction to Probability,"97,291",Self-paced on your time,Harvard University,Joseph Blitzstein,Intermediate,Data Analysis & Statistics,English,English,99.0,10,5,10
96,Religious Literacy: Traditions and Scriptures,"96,972",Self-paced on your time,Harvard University,Diane L. Moore-Anna Mudd,Introductory,Humanities,English,English,99.0,4,5,10
97,Programación para todos (empezando con Python),"81,004",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,Español,Español,49.0,7,2,4
98,Analyzing and Visualizing Data with Power BI,"28,879",Self-paced on your time,Davidson College,Pete Benbow,Introductory,Data Analysis & Statistics,English,English,99.0,4,10,20
99,High-Dimensional Data Analysis,"78,443",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Advanced,Data Analysis & Statistics,English,English,149.0,4,2,4
100,Introduction To Music Theory,"67,029",Self-paced on your time,Berklee College of Music,George Russell,Introductory,Humanities,English,English,49.0,6,3,5
101,Human Anatomy,"126,850",Self-paced on your time,The Hong Kong Polytechnic University,John Yuen-Benson Lau-Allen Cheong-Richard Li,Introductory,Medicine,English,English,139.0,8,2,4
102,"CitiesX: The Past, Present and Future of Urban Life","76,874",Self-paced on your time,Harvard University,Edward Glaeser,Introductory,Social Sciences,English,"English, Português",99.0,11,5,7
103,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,"24,208",Self-paced on your time,Harvard University,Michael Puett,Introductory,Philosophy & Ethics,English,English,99.0,13,1,2
104,Entrepreneurship 101: Who is your customer?,"41,838",Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,49.0,10,2,4
105,"U.S. Public Policy: Social, Economic, and Foreign Policies","44,045",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,49.0,4,2,4
106,Machine Learning with Python: from Linear Models to Deep Learning,"85,561",Instructor-led on a course schedule,Massachusetts Institute of Technology,Regina Barzilay-Tommi Jaakkola-Karene Chu,Advanced,Computer Science,English,English,300.0,15,10,14
107,Introduction to Data Science,"43,766",Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,English,English,39.0,6,3,6
108,Circuits and Electronics 1: Basic Circuit Analysis,"52,639",Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Introductory,Electronics,English,"English, 中文",169.0,5,5,7
109,Introduction to Investments,"91,788",Self-paced on your time,Indian Institute of Management Bangalore,S.G. Badrinath,Intermediate,Business & Management,English,English,50.0,5,3,5
110,Improving Your Business Through a Culture of Health,"54,136",Self-paced on your time,Harvard University,John McDonough-Howard Koh-Amy Edmondson-Jose Alvarez,Introductory,Business & Management,English,English,99.0,9,1,3
111,Introduction to Linear Models and Matrix Algebra,"92,004",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Math,English,English,149.0,4,2,4
112,DO Your Venture: Entrepreneurship For Everyone,"61,989",Self-paced on your time,Indian Institute of Management Bangalore,Suresh Bhagavatula,Introductory,Business & Management,English,"English, हिन्दी",150.0,6,3,4
