,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
752,Gestión por resultados para gobiernos subnacionales,"65,955",Self-paced on your time,Inter-American Development Bank,Mauricio García Moreno-Roberto García López,Introductory,Business & Management,Español,Español,25.0,10,3,4
753,Introduction to Sociology,"10,412",Self-paced on your time,The University of Texas of the Permian Basin,Joanna Hadjicostandi,Introductory,Social Sciences,English,English,139.0,6,4,6
754,Transformación digital en las empresas,,Self-paced on your time,Pontificia Universidad Javeriana,ANDRES FELIPE VELASQUEZ-PEDRO PABLO MORA,Introductory,Business & Management,Español,Español,49.0,7,5,6
755,Desafios e oportunidades na economia digital,"6,913",Self-paced on your time,Inter-American Development Bank,​Ana María Rodríguez-Ortiz-Agustina Calatayud-Pau Puig-Diego Molano,Introductory,Economics & Finance,Português,Português,25.0,10,2,3
756,"Cellular Solids Part 1: Structures, Properties and Engineering Applications","7,186",Self-paced on your time,Massachusetts Institute of Technology,Lorna J. Gibson-Jessica Sandland,Advanced,Engineering,English,English,99.0,9,11,13
757,Introduction to Statistical Methods for Gene Mapping,"15,419",Self-paced on your time,Kyoto University,Ryo Yamada,Advanced,Data Analysis & Statistics,English,English,49.0,4,2,3
758,Cómo vivir una vida saludable y activa,"8,990",Self-paced on your time,Universidad Autónoma de Madrid,Rocío Fernández-Ballesteros-María Márquez González-Mª del Pilar Montero López-Ángeles Molina Martínez,Introductory,Social Sciences,Español,Español,49.0,5,3,4
759,Mandarin Chinese Level 3,"8,418",Self-paced on your time,MandarinX,Estella Chen,Intermediate,Language,English,English,149.0,6,4,10
760,Databases: Advanced Topics in SQL,,Self-paced on your time,Stanford University,Jennifer Widom,Introductory,Computer Science,English,English,50.0,2,8,10
761,Data for Effective Policy Making,"13,797",Self-paced on your time,Inter-American Development Bank,Norma Palomino-Ivette Fis de Melo,Introductory,Math,English,English,25.0,10,3,4
762,C Programming: Using Linux Tools and Libraries,"13,912",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Intermediate,Computer Science,English,English,49.0,7,4,5
763,Lernen objekt-orientierter Programmierung,"10,657",Instructor-led on a course schedule,Technische Universität München,Peter Hubwieser-Johannes Krugel-Marc Berges-Alexandra Funke,Introductory,Computer Science,Deutsch,Deutsch,49.0,6,3,5
764,Cybersecurity: The CISO's View,"21,507",Self-paced on your time,University of Washington,Barbara Endicott-Popovsky,Introductory,Computer Science,English,English,199.0,6,2,5
765,Fundamentals of Java EE Development,"10,129",Self-paced on your time,Red Hat,Will Dinyes,Intermediate,Computer Science,English,English,99.0,7,1,3
766,"Instructional Design: Digital Media, New Tools and Technology","16,419",Self-paced on your time,University System of Maryland-University of Maryland Global Campus,Randy Hansen,Intermediate,Education & Teacher Training,English,English,299.0,8,8,10
767,Molecular Biology – Part 3: RNA Processing and Translation,"16,520",Self-paced on your time,Massachusetts Institute of Technology,Stephen P. Bell-Tania A. Baker-Mary Ellen Wiltrout-Sera Thornton,Advanced,Biology & Life Sciences,English,"English, 中文",99.0,8,4,8
768,Power and Responsibility: Doing Philosophy with Superheroes,"8,517",Self-paced on your time,The Smithsonian Institution,Christopher Robichaud,Introductory,Art & Culture,English,English,49.0,5,1,5
769,Aprendizaje automático y ciencia de datos,"13,994",Self-paced on your time,Universitat Politècnica de Valencia,José Hernández-Orallo-María José Ramírez Quintana-Fernando Martínez Plumed,Intermediate,Computer Science,Español,Español,50.0,5,4,5
770,Sustainable Urban Freight Transport: A Global Perspective,"7,769",Self-paced on your time,Delft University of Technology,Lóránt Tavasszy-Ron van Duin-Tharsis Teoh-Eiichi Taniguchi,Introductory,Engineering,English,English,50.0,5,4,6
771,MathTrackX: Statistics,,Self-paced on your time,University of Adelaide,Dr Melissa Humphries-Dr David Butler-Dr Brendan Harding-Dr Danny Stevenson,Introductory,Math,English,English,79.0,4,3,6
772,Técnicas Cuantitativas y Cualitativas para la Investigación,"29,885",Self-paced on your time,Universitat Politècnica de Valencia,Adela García Aracil-Isabel Neira Gómez-Fernando Jiménez Sáez-José Félix Lozano Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,65.0,6,2,3
773,Strategic Applications of IT Project & Program Management,"17,914",Self-paced on your time,University of Washington,Debra Hildebrand,Introductory,Business & Management,English,English,199.0,6,2,5
774,Advanced Bioconductor,"26,063",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Advanced,Data Analysis & Statistics,English,English,149.0,4,2,4
775,What Every Provider Should Know: Clinical Fundamentals,,Self-paced on your time,Stanford University,Matthew Strehlow-S.V. Mahadevan-Rebecca Walker,Introductory,Medicine,English,English,50.0,10,4,6
776,Análisis e interpretación de información económica y financiera,"5,891",Self-paced on your time,Pontificia Universidad Javeriana,Gregorio Gandini,Intermediate,Economics & Finance,Español,Español,49.0,5,6,8
777,AWS IoT: Developing and Deploying an Internet of Things,"8,884",Self-paced on your time,Amazon Web Services,Bobbie Atristain-Adam Becker-Neel Mitra-Wes Gruver,Intermediate,Computer Science,English,English,99.0,4,2,5
778,Measuring Sustainable Development,,Self-paced on your time,SDG Academy,Guido Schmidt-Traub-Guillaume Lafortune-Jessica Espey,Intermediate,Data Analysis & Statistics,English,English,25.0,5,1,3
779,Embedded Systems - Shape The World: Multi-Threaded Interfacing,"27,814",Self-paced on your time,The University of Texas at Austin,Jonathan Valvano-Ramesh Yerraballi,Intermediate,Computer Science,English,English,49.0,8,8,10
780,Hong Kong Cinema through a Global Lens | 全球化下的香港电影,"12,458",Instructor-led on a course schedule,University of Hong Kong,Aaron Magnan-Park-Stacilee Ford-Gina Marchetti,Introductory,Humanities,English,"English, 中文",50.0,6,4,6
781,Image Processing and Analysis for Life Scientists,"8,621",Self-paced on your time,École polytechnique fédérale de Lausanne,Arne Seitz-Romain Guiet-Olivier Burri-Nicolas Chiaruttini,Intermediate,Data Analysis & Statistics,English,English,199.0,7,2,3
782,La protección del menor,"7,654",Self-paced on your time,Universidad Autónoma de Madrid,Juan Antonio Chinchilla Peinado-Mónica Domínguez Martín-Liborio Hierro Sánchez-Pescador-Maravillas Espín Sáez,Introductory,Law,Español,Español,49.0,5,3,5
783,Globalization: Past and Future,"10,127",Self-paced on your time,SDG Academy,Jeffrey D. Sachs,Introductory,History,English,"English, Русский",25.0,4,2,4
784,Star Trek: Inspiring Culture and Technology,"6,521",Self-paced on your time,The Smithsonian Institution,Margaret Weitekamp-Scott Mantz,Introductory,History,English,English,40.0,7,1,3
785,Qué funciona en educación: políticas educativas basadas en evidencia,"15,701",Self-paced on your time,Inter-American Development Bank,Emiliana Vegas,Introductory,Education & Teacher Training,Español,Español,25.0,10,3,4
786,"Introduction to Cloud Development with HTML5, CSS3, and JavaScript",,Self-paced on your time,IBM,Rav Ahuja-Upkar Lidder,Introductory,Computer Science,English,English,99.0,4,1,2
787,Tools for Academic Engagement in Public Policy,"5,035",Self-paced on your time,Massachusetts Institute of Technology,Chappell Lawson-Daniel Pomeroy,Introductory,Communication,English,English,199.0,3,1,3
788,Theory of Change for Development,"10,736",Self-paced on your time,Wits University,Caitlin Blaser Mapitsa-Takunda Chirau,Introductory,Social Sciences,English,English,199.0,7,3,4
789,Monozukuri: Making Things,,Self-paced on your time,Tokyo Institute of Technology,Hiroto Tanaka-Cesar A. Hernandez Reyes,Introductory,Engineering,English,English,49.0,4,1,2
790,Drug Discovery & Medicinal Chemistry,,Self-paced on your time,Davidson College,Erland Stevens,Intermediate,Medicine,English,English,99.0,5,5,7
791,Digital Biomaterials,,Self-paced on your time,University of Hong Kong,Jukka Matinlinna-James Kit Hon Tsoi,Introductory,Medicine,English,English,149.0,4,2,4
792,Natural Resources for Sustainable Development,"9,668",Self-paced on your time,SDG Academy,Lisa Sachs-Patrick Heller-NR Faculty,Intermediate,Energy & Earth Sciences,English,"اللغة العربية, English, Español, Français, Русский",49.0,12,4,6
793,Omnichannel Strategy and Management,"15,860",Self-paced on your time,Dartmouth College,Santiago Gallino-Antonio Moreno-Garcia,Intermediate,Business & Management,English,English,99.0,4,3,5
794,General Overview of Cannabis and the Industry’s Outlook and Professions,"5,048",Self-paced on your time,Doane University,"Jazmin Oliver-Amanda McKinney, MD, FACLM-Andrea Holmes, PhD",Introductory,Environmental Studies,English,English,199.0,4,5,10
795,Amazon SageMaker: Simplifying Machine Learning Application Development,"11,765",Self-paced on your time,Amazon Web Services,Russell Sayers-Asim Jalis-Carl Leonard,Intermediate,Computer Science,English,English,99.0,4,2,4
796,Formulación y nomenclatura de compuestos químicos,"12,748",Self-paced on your time,Universitat Politècnica de Valencia,Teresa Pardo Vicente-Juan Antonio Llorens Molina,Introductory,Chemistry,Español,Español,49.0,6,3,4
797,Introducción a la factura electrónica,"5,829",Self-paced on your time,LOGYCA,Kelly Toscano-Edna Melissa Reina Calderon,Intermediate,Economics & Finance,Español,Español,49.9,4,3,4
798,Demand and Supply Analytics,"23,585",Instructor-led on a course schedule,Columbia University,Daniel Guetta,Intermediate,Business & Management,English,English,249.0,12,8,10
799,Advanced Algorithmics and Graph Theory with Python,"13,502",Self-paced on your time,IMT,Vincent Gripon-Patrick Meyer-Nicolas Farrugia-Carlos Eduardo Rosar Kos Lassance,Intermediate,Computer Science,English,English,49.0,6,2,4
800,Modern Japanese Architecture Part 1: From Meiji Restoration to the Pacific War,,Self-paced on your time,Tokyo Institute of Technology,David B. Stewart,Intermediate,Architecture,English,English,59.0,5,3,5
801,Diagramas UML estructurales para la Ingeniería del Software,"5,820",Self-paced on your time,Universitat Politècnica de Valencia,Ignacio Panach-Óscar Pastor-Ana León,Introductory,Computer Science,Español,Español,50.0,5,3,4
802,"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing","6,232",Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,49.0,7,2,4
803,Fundamentos de Mecánica para Ingeniería,"14,219",Self-paced on your time,Universitat Politècnica de Valencia,Pilar Candelas Valiente-M. Ángeles Hernández Fenollosa-Constanza Rubio Michavila-Marcos Giménez Valentín,Introductory,Physics,Español,Español,49.0,6,3,4
804,Leadership and Management for PM Practitioners in IT,"21,949",Self-paced on your time,University of Washington,Luke Panezich-Debra Hildebrand,Introductory,Business & Management,English,English,199.0,6,2,5
805,Entrepreneurship 103: Show Me The Money,"15,184",Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,300.0,10,2,4
806,Historia de la ética,"9,383",Self-paced on your time,Universidad Carlos III de Madrid,Carlos Santiuste-Francisco Javier Sánz García-Carmen González Marín-Virginia Fusco,Introductory,Philosophy & Ethics,Español,Español,29.0,6,1,3
807,Drainage in Agriculture: controlling water and salt levels in the soil,,Self-paced on your time,Wageningen University & Research,Dr. Ir. Henk Ritzema-Dr. Ir. Klaas Metselaar-Dr. Ir. Jos van Dam-Dr. Ir. Lodewijk Stuyt,Advanced,Environmental Studies,English,English,49.0,5,18,20
808,Radio para internet con Podcast: creación y conceptos básicos,"6,460",Self-paced on your time,Universitat Politècnica de Valencia,José Ramón Díaz Sáenz Díaz Sáenz-Luisa Tolosa Robledo-Carlos Hernández Franco,Introductory,Communication,Español,Español,50.0,6,3,4
809,Introducción a los circuitos eléctricos,"11,953",Self-paced on your time,Universidad Galileo,Preng Biba-Rodrigo Baessa-Eduardo Corpeño,Intermediate,Electronics,Español,Español,49.0,5,6,8
810,AP® Physics 1: Challenging Concepts,"12,145",Self-paced on your time,Davidson Next,Larry Cain-Robert Morse-Peggy Bertrand,Introductory,Physics,English,English,49.0,8,2,4
811,Introduction to Java Programming – Part 2,"71,203",Self-paced on your time,The Hong Kong University of Science and Technology,Ting-Chuen Pong-Tony W K Fung-Leo P M Fan,Introductory,Computer Science,English,English,99.0,5,3,5
812,AP® Macroeconomics,"29,433",Self-paced on your time,Davidson Next,Clark Ross-Sally Meek,Introductory,Economics & Finance,English,English,49.0,18,2,4
813,Climate Change Education,"12,056",Self-paced on your time,Inter-American Development Bank,Emma Naslund-Hadley-Juan Paredes,Introductory,Education & Teacher Training,English,"English, Español",25.0,10,4,5
814,"Introducción al griego clásico: verbos, oraciones y filosofía",,Self-paced on your time,Universidad Autónoma de Madrid,Helena González-Vaquerizo-Araceli Striano Corrochano-Raquel Fornieles Sánchez,Introductory,Language,Español,Español,49.0,5,4,5
815,Applied Deep Learning Capstone Project,"8,429",Self-paced on your time,IBM,Joseph Santarcangelo,Advanced,Data Analysis & Statistics,English,English,99.0,5,2,4
816,FinTech Ethics and Risks,"10,696",Self-paced on your time,University of Hong Kong,David L. Bishop-David S. Lee,Introductory,Economics & Finance,English,"English, English, 中文, 中文",199.0,6,1,5
817,User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,"23,828",Self-paced on your time,Tsinghua University,Pei-Luen Patrick Rau,Advanced,Engineering,English,English,139.0,7,1,5
818,The Conquest of Space: Space Exploration and Rocket Science,"19,926",Self-paced on your time,Universidad Carlos III de Madrid,Manuel Sanjurjo Rivo-Mario Merino-Eduardo Ahedo-Manuel Soler,Introductory,Engineering,English,English,129.0,7,3,4
819,Business Strategy and Operations in a Biobased Economy,,Self-paced on your time,Wageningen University & Research,Emiel Wubben-Jos Bijman-Renzo Akkerman-Argyris Kanellopoulos,Advanced,Business & Management,English,English,149.0,5,12,16
820,What Works in Education: Evidence-Based Education Policies,"5,540",Self-paced on your time,Inter-American Development Bank,Emiliana Vegas,Introductory,Education & Teacher Training,English,English,25.0,10,3,4
821,Electric Cars: Business,"14,199",Self-paced on your time,Delft University of Technology,Frank Rieck-Roland Steinmetz-Rick Wolbertus-Bert van Wee,Intermediate,Business & Management,English,English,50.0,4,4,5
822,Thermodynamics of Materials,,Self-paced on your time,Massachusetts Institute of Technology,Rafael Jaramillo-Jessica Sandland-John Harrold,Intermediate,Engineering,English,English,150.0,16,9,12
823,Mechanics: Momentum and Energy,"14,846",Self-paced on your time,Massachusetts Institute of Technology,Peter Dourmashkin-George Stephans-Deepto Chakrabarty-Analia Barrantes,Intermediate,Physics,English,English,49.0,14,10,12
824,Co-Creating Sustainable Cities,"12,415",Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Gert Spaargaren-Ellen van Bueren-Co-creating sustainable cities – Course contributors,Advanced,Social Sciences,English,English,49.0,8,6,8
825,Cómo educar teniendo en cuenta la muerte,,Self-paced on your time,Universidad Autónoma de Madrid,Pablo Rodríguez Herrero-Agustín de la Herrán Gascón,Introductory,Education & Teacher Training,Español,Español,49.0,3,2,5
826,Introduction to Animal Ethics,"6,608",Self-paced on your time,Kyoto University,Tetsuji Iseda,Introductory,Philosophy & Ethics,English,English,49.0,5,2,3
827,Teamwork & Collaboration,,Self-paced on your time,Rochester Institute of Technology,David Neumann,Introductory,Communication,English,English,199.0,3,4,6
828,Grant Writing and Crowdfunding for Public Libraries,"12,853",Self-paced on your time,The University of Michigan,Kristin Fontichiaro,Introductory,Humanities,English,English,49.0,4,2,3
829,Leading Ambitious Teaching and Learning,"24,273",Self-paced on your time,The University of Michigan-Microsoft Education,Deborah Loewenberg Ball-Nell Duke-Liz Kolb-Elizabeth Birr Moje,Advanced,Education & Teacher Training,English,English,199.0,6,2,4
830,Financing Innovative Ventures,,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Michael Pratt,Introductory,Business & Management,English,English,149.0,4,2,3
831,"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",,Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,49.0,7,2,4
832,Theories of Media and Technology,,Instructor-led on a course schedule,New York University,Scott Fitzgerald,Introductory,Art & Culture,English,English,249.0,14,8,10
833,Introducción a la Estructura de la Materia,"11,859",Self-paced on your time,Universitat Politècnica de Valencia,Carmen Gómez Benito-Teresa Pardo Vicente-Juan Antonio Llorens Molina,Introductory,Chemistry,Español,Español,25.0,4,3,4
834,"Batteries, Fuel Cells, and their Role in Modern Society","11,865",Self-paced on your time,Ural Federal University,Dmitry Pelegov,Introductory,Science,English,English,49.0,6,2,4
835,Communication Skills for Dialoguing Across Difference,"60,943",Self-paced on your time,Catalyst,Tolonda M. Tolbert-Jared Cline-Audrey Gallien,Introductory,Communication,English,English,25.0,1,1,2
836,Social Media: How Media Got Social,"13,616",Self-paced on your time,Curtin University,Tama Leaver-Gwyneth Peaty,Introductory,Communication,English,English,139.0,4,2,3
837,"Portfolio Management, Governance, & the PMO","17,299",Self-paced on your time,University of Washington,Luke Panezich,Introductory,Business & Management,English,English,199.0,6,2,5
838,edX101: Overview of Creating an edX Course,"22,327",Self-paced on your time,edX,Mark Rudnick-Ildi Morris,Introductory,Education & Teacher Training,English,English,99.0,1,1,2
839,"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",,Self-paced on your time,Universidad Autónoma de Madrid,Claudia Messina Albarenque-Tamara Ambrona Benito-Gema de Pablo González,Introductory,Education & Teacher Training,Español,Español,49.0,4,3,4
840,Data Analysis for Decision Making,"8,342",Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",P.K. Kannan-Margrét Bjarnadóttir-Kislaya Prasad-Lingling Zhang,Advanced,Business & Management,English,English,214.0,7,8,10
841,UML Class Diagrams for Software Engineering,"33,710",Self-paced on your time,KU Leuven University,Monique Snoeck,Introductory,Computer Science,English,English,49.0,3,4,5
842,Driving Digital Innovation through Experimentation,"16,904",Instructor-led on a course schedule,Boston University,Paul R. Carlile-Ben Lubin,Advanced,Computer Science,English,English,399.0,6,3,5
843,Compilation Basics for Macroeconomic Statistics,"6,570",Self-paced on your time,The International Monetary Fund,Tobias (Murto) Wickens,Introductory,Data Analysis & Statistics,English,English,25.0,4,3,6
844,Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,"20,189",Self-paced on your time,Inter-American Development Bank,Dalve Soria Alves-Edgar Zamora-Marisela Ponce de León-Ana María Pinto,Introductory,Engineering,Español,Español,25.0,10,2,3
845,From Fossil Resources to Biomass: A Chemistry Perspective,"5,464",Self-paced on your time,Wageningen University & Research,Harry Bitter-Maria Barbosa-Corjan van den Berg-Paul Struik,Advanced,Energy & Earth Sciences,English,English,149.0,5,20,28
846,System Dynamics for Health Sciences,"15,157",Self-paced on your time,Wits University,David Rubin-Tak Igusa-Robyn Letts,Intermediate,Medicine,English,English,139.0,9,2,4
847,Internet de las cosas (IoT) y Big Data,,Self-paced on your time,Universidad del Rosario,Jefferson Sarmiento Rojas-Daniel Alejandro Quiroga Torres-Pedro Antonio Aya Parra,Intermediate,Data Analysis & Statistics,Español,Español,49.0,4,4,6
848,Introducción a Ciencias de Datos y Estadística Básica para Negocios,,Self-paced on your time,Tecnológico de Monterrey,José Antonio Núñez Mora,Advanced,Data Analysis & Statistics,Español,Español,49.99,4,5,8
849,Introduction to Psychological Research Methods,"17,087",Self-paced on your time,The University of Queensland,Blake McKimmie-Wen Wu,Introductory,Humanities,English,English,99.0,7,1,2
850,Sustainable Packaging in a Circular Economy,"6,277",Self-paced on your time,Delft University of Technology,Conny Bakker-Ruud Balkenende-Janne de Hoop-Jos Vlugter,Intermediate,Design,English,English,50.0,6,3,4
851,Design in Healthcare: Using Patient Journey Mapping,"17,946",Self-paced on your time,Delft University of Technology,Richard H.M. Goossens,Introductory,Design,English,English,129.0,8,3,4
852,"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",,Self-paced on your time,Universidad Nacional de Córdoba,Roberto Peralta,Intermediate,Biology & Life Sciences,Español,"English, Español",99.0,4,5,7
853,"Electronic, Optical, and Magnetic Properties of Materials","9,717",Instructor-led on a course schedule,Massachusetts Institute of Technology,Polina Anikeeva-Jessica Sandland,Advanced,Engineering,English,English,150.0,15,11,13
854,La España del Quijote,"13,277",Self-paced on your time,Universidad Autónoma de Madrid,Pedro García Martín,Introductory,History,Español,Español,19.0,7,5,7
855,Risk Management for Projects,"22,269",Self-paced on your time,University of Adelaide,Frank Schultmann-Noel Lindsay-Anton Jordaan-John Sing,Introductory,Business & Management,English,English,199.0,5,2,3
856,Smithsonian’s Objects That Define America,"9,071",Self-paced on your time,The Smithsonian Institution,Richard Kurin,Introductory,Humanities,English,English,50.0,5,1,2
857,Creating Modern China: The Republican Period to the Present,"43,045",Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",139.0,15,1,3
858,Discover Political Science,"6,573",Instructor-led on a course schedule,Université catholique de Louvain,Nathalie Schiffino-Leclercq-Pierre Baudewyns-Vincent Legrand-Min Reuchamps,Intermediate,Social Sciences,English,English,50.0,10,4,6
859,Data Science: Inferential Thinking through Simulations,"17,505",Self-paced on your time,"University of California, Berkeley",Ani Adhikari-John DeNero-David Wagner,Introductory,Computer Science,English,English,199.0,5,4,6
860,Programming for Data Science,"41,268",Self-paced on your time,University of Adelaide,Katrina Falkner-​Claudia Szabo-Nick Falkner,Introductory,Computer Science,English,English,199.0,10,8,10
861,Public Sector Debt Statistics,,Self-paced on your time,The International Monetary Fund,Tobias (Murto) Wickens,Intermediate,Economics & Finance,English,English,25.0,6,6,8
862,Sensor Fusion and Non-linear Filtering for Automotive Systems,"9,709",Instructor-led on a course schedule,Chalmers University of Technology,Lars Hammarstrand,Advanced,Engineering,English,English,299.0,6,10,20
863,Creación musical con Soundcool: Introducción,,Self-paced on your time,Universitat Politècnica de Valencia,Jorge Sastre Martínez-Montse Briceño Mezquita-Elena Pelejero Ibáñez,Introductory,Music,Español,Español,30.0,5,4,5
864,First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,"8,222",Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Humanities,English,English,49.0,3,3,5
865,The Quantum Internet and Quantum Computers: How Will They Change the World?,"15,014",Self-paced on your time,Delft University of Technology,Stephanie Wehner-Lieven Vandersypen-Menno Veldhorst,Introductory,Science,English,English,50.0,6,2,3
866,Research Methods: An Engineering Approach,"20,444",Self-paced on your time,Wits University,Ivan Hofsajer,Introductory,Engineering,English,English,169.0,8,2,3
867,Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,"15,349",Self-paced on your time,Universidad Autónoma de Madrid,Felix Duque-Ángel Gabilondo-Valerio Rocco-Marcela Vélez,Introductory,Philosophy & Ethics,Español,Español,49.0,5,3,5
868,Rise to Leadership: Become a CEO,"16,719",Self-paced on your time,Babson College,Peter Cohan,Intermediate,Business & Management,English,English,199.0,4,4,6
869,Building a Cybersecurity Toolkit,"23,275",Self-paced on your time,University of Washington,David Aucsmith,Introductory,Computer Science,English,English,199.0,6,2,5
870,Marketing your Android apps,,Self-paced on your time,Universidad Galileo,Jojo Giuffra-Pedro Borrayo,Intermediate,Engineering,English,English,49.0,5,6,8
871,Embedded Systems Essentials with Arm: Getting Started,,Self-paced on your time,Arm Education,Khaled Benkrid-Shuojin Hang-Mark Allen-Tim Wilmshurst,Intermediate,Computer Science,English,English,149.0,6,3,6
872,Life with Diabetes,"12,318",Self-paced on your time,Curtin University,Patricia Marshall,Introductory,Medicine,English,English,139.0,5,3,4
873,Human Reproduction,"5,517",Self-paced on your time,University of Adelaide,Mario Ricci-Danijela Menicanin-Kathy Gatford-Corinna Van Den Heuvel,Intermediate,Biology & Life Sciences,English,English,169.0,6,2,3
874,Enabling Technologies for Data Science and Analytics: The Internet of Things,"71,290",Self-paced on your time,Columbia University,Fred Jiang-Julia Hirschberg-Michael Collins-Shih-Fu Chang,Introductory,Computer Science,English,English,99.0,5,7,10
875,Astrophysics: Exploring Exoplanets,"48,539",Self-paced on your time,Australian National University,Brian Schmidt-Paul Francis,Intermediate,Physics,English,English,50.0,9,2,4
876,Unconventional Reservoir Geomechanics,,Self-paced on your time,Stanford University,Mark D. Zoback-Arjun H. Kohli,Introductory,Energy & Earth Sciences,English,English,129.0,10,6,8
877,Strategic Account Management,,Self-paced on your time,Queen’s University,Jim Hamilton-Michael Cant,Introductory,Business & Management,English,English,149.0,6,4,6
878,PyTorch Basics for Machine Learning,,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,39.0,5,4,5
879,Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,"14,266",Self-paced on your time,Universidad Galileo,Rocael Hernández Rissardini-Miguel Morales-Mónica Mishell Pérez de Santisteban-Carla Sandoval Orellana,Intermediate,Humanities,Español,Español,49.0,4,4,5
880,Introduction to Cloud Foundry and Cloud Native Software Architecture,"24,444",Self-paced on your time,The Linux Foundation,Norm Abramovitz-Tyler Bird-Kevin Rutten,Introductory,Computer Science,English,English,169.0,14,3,4
881,Gestión de compras eficientes para tu empresa,,Self-paced on your time,LOGYCA,Daniela Flórez Ceron-Carlos José Bello Peréz,Introductory,Engineering,Español,Español,25.0,5,3,5
882,Know HBV And HCV,,Self-paced on your time,Stanford University,Thi Thanh Hang Pham-Samuel So,Introductory,Medicine,English,English,50.0,1,1,5
883,The Supreme Court & American Politics,"6,216",Self-paced on your time,University of Baltimore-University System of Maryland,Lyle Denniston,Introductory,Law,English,English,29.0,8,4,7
884,Sales Enablement & Analytics,,Self-paced on your time,Queen’s University,Michael Cant-Jim Hamilton,Introductory,Business & Management,English,English,149.0,6,4,6
885,Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,"16,423",Self-paced on your time,Inter-American Development Bank,Joaquim Tres-Matthew Shearer-Eddy Rekkers-Rodrigo Polanco,Intermediate,Business & Management,Español,Español,25.0,10,3,4
886,Liderazgo en la empresa familiar,"10,969",Self-paced on your time,Tecnológico de Monterrey,Fernando Sandoval Arzaga-Juan Pablo Murra Lascurain-David Salvador Xotlanihua González,Intermediate,Business & Management,Español,Español,49.0,6,7,8
887,Comparative Political Systems,"6,934",Self-paced on your time,Università degli Studi di Napoli Federico II,Gianfranco Pasquino,Introductory,Social Sciences,English,English,59.0,6,4,6
888,Introducción al Derecho en la vida cotidiana,,Self-paced on your time,Universidad Autónoma de Madrid,María del Pilar Pérez Álvarez-Beatriz Gregoraci Fernández-Pilar Domínguez Lozano,Introductory,Law,Español,Español,49.0,5,5,6
889,Cloud Computing for Enterprises,"27,241",Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Patrick Appiah-Kubi-Jarrod Jordan,Intermediate,Computer Science,English,English,299.0,8,8,10
890,Diversity and Social Justice in Social Work,"11,055",Self-paced on your time,The University of Michigan,Jamie Mitchell,Advanced,Social Sciences,English,English,199.0,8,8,10
891,Public Library Marketing and Public Relations,"7,525",Self-paced on your time,The University of Michigan,Kristin Fontichiaro,Introductory,Humanities,English,English,49.0,4,2,3
892,"Healthcare Finance, Economics and Risk","8,006",Self-paced on your time,Doane University,Jody Woodworth,Intermediate,Economics & Finance,English,English,199.0,5,5,10
893,Reacciones Químicas y Cálculos Estequiométricos,"8,907",Self-paced on your time,Universitat Politècnica de Valencia,Carmen Gómez Benito-Isabel Morera Bertomeu,Introductory,Chemistry,Español,Español,49.0,6,3,4
894,Seeking Women’s Rights: Colonial Period to the Civil War,"5,157",Self-paced on your time,Columbia University,Alice Kessler-Harris-Nick Juravich-Columbia University Center for Teaching and Learning-New-York Historical Society,Intermediate,History,English,English,50.0,10,2,3
895,VideoX: Creating Video for the edX Platform,"12,159",Self-paced on your time,edX,Erik Brown-James Donald,Introductory,Education & Teacher Training,English,English,99.0,2,2,4
896,Comisión de la Verdad Colombia,,Self-paced on your time,Pontificia Universidad Javeriana,Juan Daniel Cruz-Andrés Mauricio Valdivieso Collazos-Nelson Otaya-María Mónica Herrera Irurita,Introductory,History,Español,Español,29.0,5,7,10
